Record.ID,s,word,accuracy,cognate,diff,subject,L2AoA,Language
BUBA046,spa,muzzle,0,0,5,subject3,0,0
BUBA046,spa,unicorn,0,1,5,subject3,0,0
BUBA046,spa,funnel,0,0,5,subject3,0,0
BUBA046,spa,accordion,0,1,5,subject3,0,0
BUBA046,spa,noose,0,0,5,subject3,0,0
BUBA046,spa,asparagus,0,1,5,subject3,0,0
BUBA046,spa,compass,0,1,5,subject3,0,0
BUBA046,spa,latch,0,0,6,subject3,0,0
BUBA046,spa,tripod,0,1,6,subject3,0,0
BUBA046,spa,scroll,0,0,6,subject3,0,0
BUBA046,spa,tongs,0,0,6,subject3,0,0
BUBA046,spa,sphinx,0,1,6,subject3,0,0
BUBA046,spa,yoke,0,0,6,subject3,0,0
BUBA046,spa,trellis,0,0,6,subject3,0,0
BUBA046,spa,protractor,0,0,6,subject3,0,0
BUBA046,spa,abacus,0,1,6,subject3,0,0
BUBA061,spa,comb,1,0,1,subject4,6,0
BUBA061,spa,flower,1,1,1,subject4,6,0
BUBA061,spa,helicopter,1,1,2,subject4,6,0
BUBA061,spa,broom,0,0,2,subject4,6,0
BUBA061,spa,octopus,0,0,2,subject4,6,0
BUBA061,spa,mushroom,1,0,2,subject4,6,0
BUBA061,spa,hanger,1,0,2,subject4,6,0
BUBA061,spa,wheelchair,1,0,2,subject4,6,0
BUBA061,spa,camel,1,1,2,subject4,6,0
BUBA061,spa,mask,1,1,2,subject4,6,0
BUBA061,spa,racquet,1,1,3,subject4,6,0
BUBA061,spa,snail,0,0,3,subject4,6,0
BUBA061,spa,volcano,1,1,3,subject4,6,0
BUBA061,spa,seahorse,0,0,3,subject4,6,0
BUBA061,spa,dart,1,1,3,subject4,6,0
BUBA061,spa,canoe,0,1,3,subject4,6,0
BUBA061,spa,wreath,0,0,3,subject4,6,0
BUBA061,spa,beaver,0,0,3,subject4,6,0
BUBA061,spa,harmonica,1,1,3,subject4,6,0
BUBA061,spa,rhinoceros,0,1,4,subject4,6,0
BUBA061,spa,acorn,0,0,4,subject4,6,0
BUBA061,spa,igloo,1,1,4,subject4,6,0
BUBA061,spa,stilts,0,0,4,subject4,6,0
BUBA061,spa,dominos,1,1,4,subject4,6,0
BUBA061,spa,harp,1,1,4,subject4,6,0
BUBA061,spa,hammock,0,1,4,subject4,6,0
BUBA061,spa,knocker,0,0,4,subject4,6,0
