Record.ID,e,word,accuracy,cognate,diff
BUBA061,eng,compass,0,1,5
BUBA061,eng,latch,0,0,6
BUBA061,eng,tripod,0,1,6
BUBA061,eng,scroll,0,0,6
BUBA061,eng,tongs,0,0,6
BUBA061,eng,sphinx,1,1,6
BUBA061,eng,yoke,0,0,6
BUBA061,eng,trellis,0,0,6
BUBA061,eng,protractor,0,0,6
BUBA061,eng,abacus,1,1,6
BUBA066,eng,comb,1,0,1
BUBA066,eng,flower,1,1,1
BUBA066,eng,helicopter,1,1,2
BUBA066,eng,broom,1,0,2
BUBA066,eng,octopus,1,0,2
BUBA066,eng,mushroom,0,0,2
BUBA066,eng,hanger,0,0,2
BUBA066,eng,wheelchair,0,0,2
BUBA066,eng,camel,1,1,2
BUBA066,eng,mask,0,1,2
BUBA066,eng,racquet,0,1,3
BUBA066,eng,snail,0,0,3
BUBA066,eng,volcano,1,1,3
BUBA066,eng,seahorse,0,0,3
BUBA066,eng,dart,1,1,3
BUBA066,eng,canoe,0,1,3
BUBA066,eng,wreath,0,0,3
BUBA066,eng,beaver,1,0,3
BUBA066,eng,harmonica,0,1,3
BUBA066,eng,rhinoceros,0,1,4
BUBA066,eng,acorn,0,0,4
BUBA066,eng,igloo,0,1,4
BUBA066,eng,stilts,0,0,4
BUBA066,eng,dominos,0,1,4
BUBA066,eng,harp,0,1,4
BUBA066,eng,hammock,1,1,4
BUBA066,eng,knocker,0,0,4
BUBA066,eng,pyramid,0,1,5
BUBA066,eng,muzzle,0,0,5
BUBA066,eng,unicorn,0,1,5
BUBA066,eng,funnel,0,0,5
BUBA066,eng,accordion,0,1,5
BUBA066,eng,noose,0,0,5
BUBA066,eng,asparagus,0,1,5
BUBA066,eng,compass,0,1,5
BUBA066,eng,latch,0,0,6
BUBA066,eng,tripod,0,1,6
BUBA066,eng,scroll,0,0,6
BUBA066,eng,tongs,0,0,6
BUBA066,eng,sphinx,0,1,6
BUBA066,eng,yoke,0,0,6
BUBA066,eng,trellis,0,0,6
BUBA066,eng,protractor,0,0,6
BUBA066,eng,abacus,0,1,6
BUBA072,eng,comb,1,0,1
BUBA072,eng,flower,1,1,1
BUBA072,eng,helicopter,0,1,2
BUBA072,eng,broom,1,0,2
BUBA072,eng,octopus,1,0,2
BUBA072,eng,mushroom,0,0,2
BUBA072,eng,hanger,1,0,2
BUBA072,eng,wheelchair,1,0,2
BUBA072,eng,camel,1,1,2
BUBA072,eng,mask,1,1,2
BUBA072,eng,racquet,1,1,3
BUBA072,eng,snail,0,0,3
BUBA072,eng,volcano,0,1,3
BUBA072,eng,seahorse,1,0,3
BUBA072,eng,dart,0,1,3
BUBA072,eng,canoe,1,1,3
BUBA072,eng,wreath,0,0,3
BUBA072,eng,beaver,0,0,3
BUBA072,eng,harmonica,0,1,3
BUBA072,eng,rhinoceros,0,1,4
BUBA072,eng,acorn,0,0,4
BUBA072,eng,igloo,1,1,4
BUBA072,eng,stilts,0,0,4
BUBA072,eng,dominos,0,1,4
BUBA072,eng,harp,1,1,4
BUBA072,eng,hammock,0,1,4
BUBA072,eng,knocker,0,0,4
BUBA072,eng,pyramid,1,1,5
BUBA072,eng,muzzle,0,0,5
BUBA072,eng,unicorn,0,1,5
BUBA072,eng,funnel,0,0,5
BUBA072,eng,accordion,0,1,5
BUBA072,eng,noose,0,0,5
BUBA072,eng,asparagus,0,1,5
BUBA072,eng,compass,0,1,5
BUBA072,eng,latch,0,0,6
BUBA072,eng,tripod,0,1,6
BUBA072,eng,scroll,0,0,6
BUBA072,eng,tongs,0,0,6
BUBA072,eng,sphinx,0,1,6
BUBA072,eng,yoke,0,0,6
BUBA072,eng,trellis,0,0,6
BUBA072,eng,protractor,0,0,6
BUBA072,eng,abacus,0,1,6
BUBA076,eng,comb,1,0,1
BUBA076,eng,flower,1,1,1
BUBA076,eng,helicopter,0,1,2
BUBA076,eng,broom,0,0,2
BUBA076,eng,octopus,0,0,2
BUBA076,eng,mushroom,0,0,2
BUBA076,eng,hanger,0,0,2
BUBA076,eng,wheelchair,0,0,2
BUBA076,eng,camel,0,1,2
BUBA076,eng,mask,0,1,2
BUBA076,eng,racquet,0,1,3
BUBA076,eng,snail,1,0,3
BUBA076,eng,volcano,0,1,3
BUBA076,eng,seahorse,0,0,3
BUBA076,eng,dart,0,1,3
BUBA076,eng,canoe,0,1,3
BUBA076,eng,wreath,0,0,3
BUBA076,eng,beaver,0,0,3
BUBA076,eng,harmonica,0,1,3
BUBA076,eng,rhinoceros,0,1,4
BUBA076,eng,acorn,0,0,4
BUBA076,eng,igloo,1,1,4
BUBA076,eng,stilts,0,0,4
BUBA076,eng,dominos,0,1,4
BUBA076,eng,harp,0,1,4
BUBA076,eng,hammock,0,1,4
BUBA076,eng,knocker,0,0,4
BUBA076,eng,pyramid,0,1,5
BUBA076,eng,muzzle,0,0,5
BUBA076,eng,unicorn,0,1,5
BUBA076,eng,funnel,0,0,5
BUBA076,eng,accordion,0,1,5
BUBA076,eng,noose,0,0,5
BUBA076,eng,asparagus,0,1,5
BUBA076,eng,compass,0,1,5
BUBA076,eng,latch,0,0,6
BUBA076,eng,tripod,0,1,6
BUBA076,eng,scroll,0,0,6
BUBA076,eng,tongs,0,0,6
BUBA076,eng,sphinx,0,1,6
BUBA076,eng,yoke,0,0,6
BUBA076,eng,trellis,0,0,6
BUBA076,eng,protractor,0,0,6
BUBA076,eng,abacus,0,1,6
BUBA078,eng,comb,0,0,1
BUBA078,eng,flower,1,1,1
BUBA078,eng,helicopter,0,1,2
BUBA078,eng,broom,0,0,2
BUBA078,eng,octopus,0,0,2
BUBA078,eng,mushroom,0,0,2
BUBA078,eng,hanger,0,0,2
BUBA078,eng,wheelchair,0,0,2
BUBA078,eng,camel,0,1,2
BUBA078,eng,mask,0,1,2
BUBA078,eng,racquet,1,1,3
BUBA078,eng,snail,0,0,3
BUBA078,eng,volcano,0,1,3
BUBA078,eng,seahorse,0,0,3
BUBA078,eng,dart,0,1,3
BUBA078,eng,canoe,0,1,3
BUBA078,eng,wreath,0,0,3
BUBA078,eng,beaver,0,0,3
BUBA078,eng,harmonica,0,1,3
BUBA078,eng,rhinoceros,0,1,4
BUBA078,eng,acorn,0,0,4
BUBA078,eng,igloo,0,1,4
BUBA078,eng,stilts,0,0,4
BUBA078,eng,dominos,0,1,4
BUBA078,eng,harp,0,1,4
BUBA078,eng,hammock,0,1,4
BUBA078,eng,knocker,0,0,4
BUBA078,eng,pyramid,0,1,5
BUBA078,eng,muzzle,0,0,5
BUBA078,eng,unicorn,0,1,5
