Record.ID,e,s,word,eng-acc,spa-acc,cognate,diff,subject
BUBA046,eng,spa,harp,0,0,1,4,subject3
BUBA046,eng,spa,hammock,0,0,1,4,subject3
BUBA046,eng,spa,knocker,0,NA,0,4,subject3
BUBA046,eng,spa,pyramid,0,0,1,5,subject3
BUBA046,eng,spa,muzzle,0,0,0,5,subject3
BUBA046,eng,spa,unicorn,0,0,1,5,subject3
BUBA046,eng,spa,funnel,0,0,0,5,subject3
BUBA046,eng,spa,accordion,0,0,1,5,subject3
BUBA046,eng,spa,noose,0,0,0,5,subject3
BUBA046,eng,spa,asparagus,0,0,1,5,subject3
BUBA046,eng,spa,compass,0,0,1,5,subject3
BUBA046,eng,spa,latch,0,0,0,6,subject3
BUBA046,eng,spa,tripod,0,0,1,6,subject3
BUBA046,eng,spa,scroll,0,0,0,6,subject3
BUBA046,eng,spa,tongs,0,0,0,6,subject3
BUBA046,eng,spa,sphinx,0,0,1,6,subject3
BUBA046,eng,spa,yoke,0,0,0,6,subject3
BUBA046,eng,spa,trellis,0,0,0,6,subject3
BUBA046,eng,spa,protractor,0,0,0,6,subject3
BUBA046,eng,spa,abacus,0,0,1,6,subject3
BUBA061,eng,spa,comb,1,1,0,1,subject4
BUBA061,eng,spa,flower,1,1,1,1,subject4
BUBA061,eng,spa,helicopter,1,1,1,2,subject4
BUBA061,eng,spa,broom,1,0,0,2,subject4
BUBA061,eng,spa,octopus,1,0,0,2,subject4
BUBA061,eng,spa,mushroom,1,1,0,2,subject4
BUBA061,eng,spa,hanger,1,1,0,2,subject4
BUBA061,eng,spa,wheelchair,1,1,0,2,subject4
BUBA061,eng,spa,camel,1,1,1,2,subject4
BUBA061,eng,spa,mask,1,1,1,2,subject4
BUBA061,eng,spa,racquet,1,1,1,3,subject4
BUBA061,eng,spa,snail,1,0,0,3,subject4
BUBA061,eng,spa,volcano,1,1,1,3,subject4
BUBA061,eng,spa,seahorse,1,0,0,3,subject4
BUBA061,eng,spa,dart,1,1,1,3,subject4
BUBA061,eng,spa,canoe,1,0,1,3,subject4
BUBA061,eng,spa,wreath,1,0,0,3,subject4
BUBA061,eng,spa,beaver,1,0,0,3,subject4
BUBA061,eng,spa,harmonica,1,1,1,3,subject4
BUBA061,eng,spa,rhinoceros,1,0,1,4,subject4
BUBA061,eng,spa,acorn,0,0,0,4,subject4
BUBA061,eng,spa,igloo,1,1,1,4,subject4
BUBA061,eng,spa,stilts,1,0,0,4,subject4
BUBA061,eng,spa,dominos,1,1,1,4,subject4
BUBA061,eng,spa,harp,1,1,1,4,subject4
BUBA061,eng,spa,hammock,1,0,1,4,subject4
BUBA061,eng,spa,knocker,1,0,0,4,subject4
BUBA061,eng,spa,pyramid,1,0,1,5,subject4
BUBA061,eng,spa,muzzle,0,0,0,5,subject4
BUBA061,eng,spa,unicorn,1,1,1,5,subject4
BUBA061,eng,spa,funnel,0,0,0,5,subject4
BUBA061,eng,spa,accordion,0,1,1,5,subject4
BUBA061,eng,spa,noose,1,0,0,5,subject4
BUBA061,eng,spa,asparagus,1,1,1,5,subject4
BUBA061,eng,spa,compass,0,0,1,5,subject4
BUBA061,eng,spa,latch,0,0,0,6,subject4
BUBA061,eng,spa,tripod,0,0,1,6,subject4
BUBA061,eng,spa,scroll,0,0,0,6,subject4
BUBA061,eng,spa,tongs,0,0,0,6,subject4
BUBA061,eng,spa,sphinx,1,0,1,6,subject4
BUBA061,eng,spa,yoke,0,0,0,6,subject4
BUBA061,eng,spa,trellis,0,0,0,6,subject4
BUBA061,eng,spa,protractor,0,0,0,6,subject4
BUBA061,eng,spa,abacus,1,1,1,6,subject4
BUBA066,eng,spa,comb,1,0,0,1,subject5
BUBA066,eng,spa,flower,1,0,1,1,subject5
BUBA066,eng,spa,helicopter,1,0,1,2,subject5
BUBA066,eng,spa,broom,1,0,0,2,subject5
BUBA066,eng,spa,octopus,1,0,0,2,subject5
BUBA066,eng,spa,mushroom,0,0,0,2,subject5
BUBA066,eng,spa,hanger,0,0,0,2,subject5
BUBA066,eng,spa,wheelchair,0,0,0,2,subject5
BUBA066,eng,spa,camel,1,0,1,2,subject5
BUBA066,eng,spa,mask,0,0,1,2,subject5
BUBA066,eng,spa,racquet,0,0,1,3,subject5
BUBA066,eng,spa,snail,0,0,0,3,subject5
BUBA066,eng,spa,volcano,1,0,1,3,subject5
BUBA066,eng,spa,seahorse,0,0,0,3,subject5
BUBA066,eng,spa,dart,1,0,1,3,subject5
BUBA066,eng,spa,canoe,0,0,1,3,subject5
BUBA066,eng,spa,wreath,0,0,0,3,subject5
BUBA066,eng,spa,beaver,1,0,0,3,subject5
BUBA066,eng,spa,harmonica,0,0,1,3,subject5
BUBA066,eng,spa,rhinoceros,0,0,1,4,subject5
BUBA066,eng,spa,acorn,0,0,0,4,subject5
